card_name,quantity
Bleachbone Verge,3
Blood Crypt,4
Consult the Star Charts,2
Day of Black Sun,1
Deadly Cover-Up,2
Disdainful Stroke,1
Duress,4
Firebending Lesson,3
Flashback,2
Flashfreeze,2
Great Hall of the Biblioplex,4
Inevitable Defeat,2
Island,1
Jeskai Revelation,4
Nowhere to Run,2
Outrageous Robbery,1
Pest Control,1
Petrified Hamlet,1
Plains,1
Return the Favor,1
Riverchurn Monument,1
Riverpyre Verge,3
Sacred Foundry,2
Sage of the Skies,2
Sear,2
Shattered Sanctum,2
Shoot the Sheriff,2
Spell Snare,1
Starting Town,2
Steam Vents,1
Stock Up,4
Swamp,1
Tablet of Discovery,4
"Thor, God of Thunder",2
Together as One,2
Undercity Sewers,2
