name,set_code,collector_number,quantity,finish,language,condition,purpose,sub_collection,photo_path,acquired_price,notes
"Cloud, Midgar Mercenary",fin,,1,foil,en,NM,player,Cloud,,,"comandante — FF FFVII (fin 564)"
Benevolent Bodyguard,ema,,1,foil,en,NM,player,Cloud,,,"Eternal Masters"
"Cid, Freeflier Pilot",fic,,1,foil,en,NM,player,Cloud,,,"FF Commander"
Anointed Peacekeeper,dmu,,1,foil,en,NM,player,Cloud,,,"Dominaria United"
Cathar Commando,fdn,,1,foil,en,NM,player,Cloud,,,"Foundations"
Drannith Magistrate,,,1,foil,en,NM,player,Cloud,,,"reskin 'Mayor Tong of Chin Village'"
Esper Sentinel,mh2,,1,foil,en,NM,player,Cloud,,,
Extraction Specialist,snc,,1,foil,en,NM,player,Cloud,,,
Giver of Runes,sld,,1,foil,en,NM,player,Cloud,,,"Secret Lair"
Guide of Souls,mh3,,1,foil,en,NM,player,Cloud,,,
Lion Sash,neo,,1,foil,en,NM,player,Cloud,,,
Mother of Runes,sld,,1,foil,en,NM,player,Cloud,,,"Secret Lair"
Ocelot Pride,sch,,1,foil,en,NM,player,Cloud,,,"Store Championships"
Puresteel Paladin,sld,,1,foil,en,NM,player,Cloud,,,"reskin 'Ash, Destined Survivor'"
Ranger-Captain of Eos,fca,2,1,foil,en,NM,player,Cloud,,,"reskin FF 'Knights of San d'Oria'"
Recruiter of the Guard,,,1,foil,en,NM,player,Cloud,,,"edição por confirmar"
Sanctifier en-Vec,mh2,,1,foil,en,NM,player,Cloud,,,
"Skrelv, Defector Mite",sld,,1,foil,en,NM,player,Cloud,,,"reskin 'Plankton, Tiny Tyrant'"
Skyclave Apparition,gdy,,1,foil,en,NM,player,Cloud,,,"Game Day promo"
Solitude,mh2,,1,foil,en,NM,player,Cloud,,,
Spectacular Spider-Man,spm,,1,foil,en,NM,player,Cloud,,,"Marvel Secret Lair"
Stoneforge Mystic,2xm,,1,foil,en,NM,player,Cloud,,,"Double Masters 2022"
Sunpearl Kirin,tdm,,1,foil,en,NM,player,Cloud,,,
"Thalia, Guardian of Thraben",vow,,1,foil,en,NM,player,Cloud,,,"reskin 'Mina Harker'"
Tithe Taker,rna,,1,foil,en,NM,player,Cloud,,,
Voice of Victory,tdm,,1,foil,en,NM,player,Cloud,,,
Witch Enchanter,mh3,,1,foil,en,NM,player,Cloud,,,
Glimmer Lens,onc,,1,foil,en,NM,player,Cloud,,,
Masterwork of Ingenuity,sld,,1,foil,en,NM,player,Cloud,,,"Marvel Secret Lair"
Portable Hole,afr,,1,foil,en,NM,player,Cloud,,,
Pre-War Formalwear,pip,,1,foil,en,NM,player,Cloud,,,"Fallout"
Skullclamp,sld,,1,foil,en,NM,player,Cloud,,,"Secret Lair"
Umezawa's Jitte,sld,,1,foil,en,NM,player,Cloud,,,"reskin 'Cloud''s Buster Sword'"
Path to Exile,,,1,foil,en,NM,player,Cloud,,,"MagicFest promo"
Reverent Mantra,,,1,foil,en,NM,player,Cloud,,,"edição por confirmar"
Swords to Plowshares,sta,,1,foil,en,NM,player,Cloud,,,"Mystical Archive"
Jolted Awake,mh3,,1,foil,en,NM,player,Cloud,,,
Oust,roe,,1,foil,en,NM,player,Cloud,,,
On Thin Ice,mh1,,1,foil,en,NM,player,Cloud,,,
Parallax Wave,,,1,foil,en,NM,player,Cloud,,,"edição por confirmar"
Sigarda's Aid,sld,,1,foil,en,NM,player,Cloud,,,"reskin 'Captain America''s Aid'"
Swift Reconfiguration,neo,,1,foil,en,NM,player,Cloud,,,
Urza's Saga,sch,,1,foil,en,NM,player,Cloud,,,"Store Championships"
Ancient Den,sld,,1,foil,en,NM,player,Cloud,,,"Secret Lair"
"Castle Ardenvale",ltc,,1,foil,en,NM,player,Cloud,,,"reskin 'Meduseld, Golden Hall of Edoras'"
City of Traitors,,,1,foil,en,NM,player,Cloud,,,"edição por confirmar"
Crystal Vein,,,1,foil,en,NM,player,Cloud,,,"edição por confirmar"
Dust Bowl,exp,,1,foil,en,NM,player,Cloud,,,"Zendikar Expeditions"
"Eiganjo, Seat of the Empire",neo,,1,foil,en,NM,player,Cloud,,,
Gemstone Caverns,ltc,,1,foil,en,NM,player,Cloud,,,"reskin 'Glittering Caves of Aglarond'"
Mirrex,one,,1,foil,en,NM,player,Cloud,,,
Snow-Covered Plains,mh1,,29,foil,en,NM,player,Cloud,,,"MH1 foil x29"
