card_name,quantity
Aether Spellbomb,1
Agatha's Soul Cauldron,1
"Emry, Lurker of the Loch",4
Flooded Strand,2
Grinding Station,1
Hallowed Fountain,2
Island,1
"Loki, God of Mischief",3
Malevolent Rumble,4
Metallic Rebuke,3
Meticulous Archive,1
"Minamo, School at Water's Edge",1
Mishra's Bauble,4
Mox Amber,3
Mox Opal,4
Oswald Fiddlebender,3
"Otawara, Soaring City",1
Polluted Delta,1
Portable Hole,3
Scalding Tarn,1
Seachrome Coast,3
Sewer-veillance Cam,3
Skateboard,1
"Tamiyo, Inquisitive Student",4
Urza's Saga,4
