card_name,quantity
Abrade,2
Agatha's Soul Cauldron,1
Arena of Glory,1
Arid Mesa,1
Bloodstained Mire,2
Chromatic Star,1
Consign to Memory,2
Disruptor Flute,1
"Emry, Lurker of the Loch",4
Flusterstorm,1
Goblin Engineer,4
Goblin Welder,4
Great Furnace,1
Haywire Mite,1
"Jegantha, the Wellspring",1
Legion Extruder,1
Lightning Bolt,1
"Loki, God of Mischief",3
Lotus Petal,4
Mishra's Bauble,4
Mountain,1
Mox Opal,4
Phyrexian Dragon Engine,1
Pinnacle Emissary,2
Pithing Needle,1
Plateau,1
Portable Hole,1
Scalding Tarn,2
Seat of the Synod,1
Sewer-veillance Cam,4
Skateboard,1
Spell Pierce,2
The Filigree Sylex,1
Tormod's Crypt,1
Twinshot Sniper,1
Urza's Bauble,3
Urza's Saga,4
Volcanic Island,4
