sub_collection,card_name,quantity
Stiflenought,Phyrexian Dreadnought,4
Stiflenought,Counterspell,4
Stiflenought,Foil,4
Stiflenought,Stifle,4
Stiflenought,Opt,4
Stiflenought,Portent,4
Stiflenought,Vision Charm,4
Stiflenought,Daze,2
Stiflenought,Impulse,2
Stiflenought,Peek,1
Stiflenought,Chain of Vapor,2
Stiflenought,Powder Keg,1
Stiflenought,Thwart,1
Stiflenought,Gush,4
Stiflenought,Misdirection,1
Stiflenought,Flash of Insight,2
Stiflenought,Island,17
Stiflenought,Annul,3
Stiflenought,Blue Elemental Blast,2
Stiflenought,Hydroblast,2
Stiflenought,Essence Flare,3
Stiflenought,Back to Basics,2
Stiflenought,Brain Freeze,2
UW Replenish,Frantic Search,3
UW Replenish,Intuition,3
UW Replenish,Mana Leak,2
UW Replenish,Swords to Plowshares,1
UW Replenish,Replenish,4
UW Replenish,Attunement,4
